Word List and Definitions for the King James Bible


Word  Count, Definition, Reference(s) 
Aright   (5) correctly, properly (Psa 50:23, Pro 15:2; Jer 8:6) 
Armholes   (2) the armpit; the hole in the garment in which the arm is put (Jer 38:12; Eze 13:18) 
Array   (45) To clothe; to line up an army for battle (Gen 41:42; Jdg 20:20; 1Ch 19:9) 
Art   (495) are; second person singular (Gen 3:9) 
Artificer   (4) one who makes something by art or skill (Gen 4:22; Isa 3:3; 1Ch 29:5) 
Artillery   (1) offencive weapon such as a bow or sling (1Sa 20:40) 
Asp   (5) a snake, serpent (Deu 32:33) 
Assay   (6) to try, undertake, prove, or attempt (Deu 4:34; 1Sa 17:39; Act 9:26) 
Assent   (2) to agree, concur (2Ch 18:12; Act 24:9) 
Asswage   (2) to lessen, relieve, or ease (Job 16:5, Job 16:6; Gen 8:1) 
Astonied   (10) astonished, surprised or startled (Ezr 9:3; Dan 5:9;) 
Asunder   (21) apart; into parts; separately (Lev 1:17) 
Attent   (2) to be attentive, observant (2Ch 6:40, 2Ch 7:15) 
Augment   (1) to enlarge, increase, or supplement (Num 32:14) 
Austere   (2) to be severe, strict, harsh (Luk 19:21, Luk 19:22) 
Averse   (1) to be opposed, unwilling, disinclined, turned back (Mic 2:8) 
Avouched   (2) guaranteed, admitted, affirmed, or vouched for (Deu 26:17, Deu 26:18) 
Away with   (5) tolerate, bear, and endure; to take away (Isa 1:13; Luk 23:18; Joh 19:15) 
Axletrees   (2) wooden axels, spindle (1Ki 7:32, 1Ki 7:33) 
Backbiters   (4) to slander; to attack one&#8217;s character (Rom 1:30; Psa 15:3; Pro 25:23) 
Bakemeats   (1) baked food (Gen 40:17) 
Bank   (3) mound for besieging a city (2Sa 20:15; 2Ki 19:32; Isa 37:33) 
Banqueting   (2) a feast; drinking party (Son 2:4; 1Pe 4:3) 
Barbarian   (3) foreigner, alien (1Co 14:11) 
Barked   (1) to have the bark scrapped off (Joe 1:7) 
Base   (18) lowly, humble (1Co 1:28; 2Co 10:1) 
Bastard   (3) an illegitimate child (Deu 23:2; Zec 9:6; Heb 12:8) 
Bath   (6) about 8 gallons of liquid (Isa 5:10) 
Battlement   (2) a formation on top of a wall for protection (Deu 22:8; Jer 5:10) 
Beckoned   (6) to make a signal or to summon (Luk 1:22; Joh 13:24; Act 19:33) 
Bedstead   (2) a place for a bed; bed frame (Deu 3:11) 
Beeves   (7) the plural of beef, oxen (Lev 22:19; Num 31:28) 
Begat   (259) to get, bear or bring forth (Gen 4:18; Gen 7:20; Pro 7:21) 
Beggarly   (1) a beggar, indigent, poverty stricken (Gal 4:9) 
Begotten   (24) procreated; brought forth (Gen 5:4) 
Behemoth   (1) a beast or brute; large animal (Job 40:15) 
Behoved   (2) requirement; necessary (Luk 24:46; Heb 2:17) 
Belied   (1) to deceive by lying, assert falsely, prove to be false (Jer 5:12) 
Bemoan   (7) bewail, lament, or express pity for (Jer 15:5; Nah 3:7; Job 42:11) 
Beseech   (70) to seek; call upon (Exo 3:18; Mat 8:5; Gen 42:21) 
Besom   (1) broom; sweeping tool (Isa 14:23) 
Bestead   (1) distressed; perplexed (Isa 8:21) 
Bestir   (1) to heap up, to stir up (2Sa 5:24) 
Bethink   (2) to remember, remind (1Ki 8:47; 2Ch 6:37) 
Betimes   (5) early, in due time (Gen 26:31; 2Ch 36:15; Job 8:5) 
Betrothed   (9) contracted for future marriage; engaged (Exo 21:8; Deu 20:7) 
Bettered   (1) improve, amended, render more excellent (Mar 5:26) 
Betwixt   (16) in between (Gen 17:11; Phi 1:23) 
Bewail   (10) to express sorrow, lament, mourn (Lev 10:6; Deu 21:13; Jdg 11:37) 
Bewitched   (3) to fascinate; charm (Act 8:9; Gal 3:1) 
Bewray   (4) to reveal, expose, disclose, or betray (Isa 16:3; Pro 27:16, Mat 26:73) 
Bier   (2) a frame on which a corpse or casket is laid (2Sa 3:31; Luk 7:14) 
Billow   (1) a swelling of water (Psa 42:7) 
Bishop   (2) overseer (Phi 1:1; 1Pe 2:25) 
Bishoprick   (1) the office of Bishop or overseer (Act 1:20) 
Bittern   (3) a bird similar to a heron (Isa 14:23, Isa 34:11; Zeph 2:14) 
Blains   (2) an swelling or sore; a boil (Exo 9:9, Exo 9:10) 
Blaze   (1) to make known, proclaim, sound an alarm or publish (Mar 1:45) 
Blueness   (1) the mark of a bruise (Pro 20:30) 
Boisterous   (1) strong; mighty; powerful (Mat 14:30) 
Bolled   (1) to be swollen or inflated; full seed pods (Exo 9:31) 
Bolster   (6) a pillow or cushion used as a means of support (1Sa 19:13) 
Bondslave   (39) a peasant or someone in slavery (Gen 21:10; Lev 19:20; Deu 28:68) 
Bosses   (1) ornamental knobs (Job 15:26) 
Botch   (2) ulcer, tumor, boil (Deu 28:27, Deu 28:35) 
Bowels   (39) the interior of anything, affections (Gen 15:4; Phi 1:8; 1Jo 3:17) 
Bravery   (1) splendor; magnificence (Isa 3:18) 
Bray   (2) to crush; to cry out (Pro 27:22; Job 6:5) 
Breeches   (5) garments for the loins and thighs (Exo 28:42, Exo 39:28; Lev 6:10) 
Brigandine   (1) body armor (Jer 46:4, Jer 51:3) 
Brimstone   (15) burning stone of sulphur (Gen 19:24; Rev 21:8) 
Broided   (1) braided (1Ti 2:9) 
Broidered   (8) to embroider or ornament with needlework (Exo 28:4; Eze 16:10) 
Bruit   (2) rumor, report (Jer 10:22; Nah 3:19) 
Brutish   (11) uncivilized, stupid, slow, or without understanding (Psa 49:10; Eze 21:31) 
Buckler   (16) a round shield with a grip (2Sa 22:31; 2Ch 23:9) 
Buffet   (5) strike, beat, or contend against (Mar 14:65; 2Co 12:7; 1Co 4:11) 
Bulrush   (3) a tall aquatic plant or a cattail (Exo 2:3; Isa 18:2, Isa 58:5) 
Bunches   (3) a hump, bump, swelling or tumor (2Sa 16:1; 1Ch 12:40; Isa 30:6) 
Butler   (1) cup-bearer (Gen 14:21) 
By and By   (4) immediately or at once (Mat 13:21; Mar 6:25; Luk 17:7) 
Cab   (1) nearly 4 pints (2Ki 6:25) 
Calve   (4) an animal giving birth to a calf (Job 39:1; Psa 29:9; Jer 14:5) 
Canker   (1) a sore, ulcer, or malignant growth (2Ti 2:17; Jam 5:3) 
Cankered   (1) eaten away (Jam 5:3) 
Carbuncle   (4) red precious stone (Exo 28:17; Eze 28:13; Isa 54:12) 
Carefulness   (1) anxiety (1Co 7:32) 
Careless   (1) free from care, secure (Jdg 18:7) 
Carnal   (15) sensual, fleshly, worldly (Rom 7:14; 1Co 3:1; 2Co 10:4) 
Carriage   (6) that which is carried (Jdg 18:21; 1Sa 17:22; Isa 10:28) 
Castaway   (1) rejected (1Co 9:27) 
Caul   (11) fatty tissue that surrounds an organ in the body (Exo 29:13; Lev 9:19) 
Causeway   (2) paved highway (1Ch 26:16, 1Ch 26:18) 
Ceiled   (4) covered, panelled (2Ch 3:5; Jer 22:14; Eze 41:16) 
Chambering   (1) sexual indulgence or lewdness (Rom 13:13) 
Chamberlain   (1) manager of a household or town (Act 12:20; Rom 16:23) 
Chamois   (1) a small antelope (Deu 14:5) 
Champaign   (1) a plain; flat, open country (Deu 11:30) 
Chapiter   (29) head of, or capital of a column (1Ki 7:16)

Chapmen   (1) a merchant, peddler, or businessman (2Ch 9:14) 
Chapt   (1) cracked (Jer 14:4) 
Charger   (20) a platter or large dish (Num 7:13; Mar 6:28; Ezr 1:9) 
Charity   (29) love, affection (1Co 13:1; Rev 2:19; Rom 14:15) 
Chaste   (3) pure from sexual commerce; undefiled (2Co 11:2; Tit 2:5) 
Chasten   (6) to correct by punishment; to punish (2Sa 7:14; Rev 3:19) 
Check   (1) repulse, rebuke (Job 20:3) 
Chide   (7) to quarrel, contend, strive or argue (Exo 17:2; Jdg 8:1; Psa 103:9) 
Chode   (2) complained (Gen 31:36; Num 20:3) 
Choler   (2) anger, wrath, or irascibility (Dan 8:7, Dan 11:11) 
Churl   (3) a rude or coarse man (Isa 32:5, Isa 32:7; 1Sa 25:3) 
Circumspect   (2) to be cautious, wary, or discreet (Exo 23:13; Eph 5:15) 
Cleave   (4) to split or divide (Lev 1:17; Psa 74:15); (26) to cling or adhere to (Gen 2:24; Rom 12:9) 
Clift   (1) cleft, hollow (Exo 33:22; Isa 57:5) 
Closet   (3) private room (Joe 2:16; Mat 6:6; Luk 12:3) 
Clouts   (3) a piece of cloth, often used as a patch (Jer 38:11, Jer 38:12; Jos 9:5) 
Coasts   (2) borders, region (Exo 10:14; Mat 2:16) 
Cockatrice   (4) a serpent (Isa 11:8) 
Cockle   (1) a weed, darnel, or tares (Job 31:40) 
Coffer   (3) a chest, box, trunk or coffin (1Sa 6:8, 1Sa 6:11, 1Sa 6:15) 
Cogitations   (1) to think, reflect, consider, or meditate (Dan 7:28) 
Collops   (1) a small piece or slice of flesh(Job 15:27) 
Comeliness   (4) becoming, fit or suitable (Isa 53:2) 
Comely   (21) fair, pleasing, appropriate (1Sa 16:8; Job 41:12) 
Commodious   (1) to be profitable, suitable, beneficial (Act 27:12) 
Communicate   (4) to impart; to give to another (Gal 6:6; Phi 4:14) 
Companied   (1) accompanied (Act 1:21) 
Compass   (2) to go around, surround, or encircle (Num 21:4; Luk 19:43) 
Conceit   (1) opinion, conception (Pro 18:11) 
Concision   (1) a cutting; cut to pieces (Phi 3:2) 
Concluded   (2) included (Rom 11:32; Gal 3:22) 
Concord   (1) in agreement, harmony, accord (2Co 6:15) 
Concourse   (2) an assembly of people or a crowd (Pro 1:21; Act 19:40) 
Concubine   (22) a wife of inferior condition (Gen 22:24) 
Concupiscence   (3) strong desire or appetite (Rom 7:8; Col 3:5; 1Th 4:5) 
Coney   (2) a small, rabbit like, nocturnal animal 
Confection   (1) a composition or mixture (Exo 30:35) 
Confederate   (3) a league or joined together (Gen 14:13; Psa 83:5; Isa 7:2) 
Constrain   (10) to compel, force, or strongly encourage (Gal 6:12) 
Contemn   (7) to scorn, despise, or treat with contempt (Psa 10:13; Eze 21:13) 
Contrariwise   (3) on the other hand, on the contrary (2Co 2:7; Gal 2:7; 1Pe 3:9) 
Contrite   (5) deeply affected with grief and sorrow (Psa 34:18; Isa 57:15) 
Convenient   (2) suitable, proper (Pro 30:8; Eph 5:4) 
Conversant   (2) dwelling with (Jos 8:35; 1Sa 25:15) 
Conversation   (20) behavior, conduct, or manner (Psa 37:2; 2Pe 3:11) 
Convince   (7) to prove guilty, vanquish, refute (Tit 1:9; Jude 1:15) 
Convocation   (16) an assembly (Num 28:18) 
Coriander   (2) plant with small spicy seeds (Exo 16:31; Num 11:7) 
Cormorant   (4) a large ravenous bird (Lev 11:17; Deu 14:17; Isa 34:11) 
Corn   (102) a small hard particle of grain or seed (Gen 27:28; 1Ti 5:18) 
Cotes   (1) a shelter for animals or storage (2Ch 32:28) 
Coulter   (1) blade of a plough (1Sa 13:20) 
Countenance   (53) appearance of the face (Gen 4:5; Luk 9:29) 
Countervail   (1) a counterbalance (Est 7:4) 
Cousin   (1) kinsman, relative (Luk 1:36, Luk 1:58) 
Covert   (9) a shelter or hiding place (1Sa 25:20; Jer 25:38) 
Cracknels   (1) light, crisp biscuits (1Ki 14:3) 
Creature   (41) a created being (Rom 1:25; 1Ti 4:4) 
Crib   (3) the manger of a stable (Job 39:9; Pro 14:4; Isa 1:3) 
Crisping pins   (1) curling pins for a women's hair (Isa 3:22) 
Crookbackt   (1) hump-backed, hunch-backed (Lev 21:20) 
Cruse   (9) a small vessel for holding liquids (1Sa 26:11; 2Ki 2:20) 
Cubit   (252) cubit of a man, from elbow to fingertip (Deu 3:11) 
Cuckow   (2) gull, bird (Lev 11:16; Deu 14:15) 
Cumbered   (3) to overwhelm, trouble or burden (Luk 10:40, Luk 13:7; Deu 1:12) 
Cummin   (4) a plant used as a spice (Isa 28:25, Isa 28:27; Mat 23:23) 
Cunning   (33) skillful (1Sa 16:16; 1Ki 7:14) 
Curious   (10) detailed; intricately, or skillfully made (Exo 28:8; Act 19:19) 
Curious Arts   (1) magic, sorcery (Act 19:19) 
Custom   (3) tribute, tax, toll (Mat 9:9; Mar 2:14; Luk 5:27) 
Dainty   (6) delicate, pleasing, and valuable (Job 33:20; Pro 23:6; Rev 18:14) 
Dale   (2) a valley (Gen 14:17; 2Sa 18:18) 
Dam   (4) a mother animal (Exo 22:30; Lev 22:27; Deu 22:6) 
Damn(ation)   (3) condemnation, judgment, or sentence (Mar 16:16; Rom 14:23; 2Th 2:12) 
Damsel   (43) a young unmarried woman or a girl (Gen 24:14; 1Ki 1:3) 
Dandled   (1) danced on the knee; fondled (Isa 66:12) 
Darling   (2) a term of endearment referring to a dearly loved person (Psa 22:20, Psa 35:17) 
Dash   To strike against; to beat towards (Luk 4:11)

Daub   (1) to cover, coat, or plaster (Eze 13:11) 
Daysman   (1) a mediator, or arbitrator (Job 9:33) 
Dayspring   (2) day break; sunrise (Job 38:12; Luk 1:78) 
Deal   (9) a portion, share (Exo 29:40; Num 29:15) 
Dearth   (8) scarcity of rain; drought (Gen 41:54; 2Ki 4:38; Act 7:11) 
Deceivableness   (1) capable of being deceived (2Th 2:10) 
Deck   (12) to adorn, cover or clothe (Job 40:10; Jer 10:4; Pro 7:16) 
Decline   (11) to deviate, or turn aside (Exo 23:2; Deu 17:11; Psa 119:157) 
Delectable   (1) delightful, pleasing, or delicious (Isa 44:9) 
Deliciously   (1) a manner to please or gratify (Rev 18:7, Rev 18:9) 
Delightsome   (1) delightful, enjoyable, or pleasing (Mal 3:12) 
Deputed   (1) to assign, commit, or authorize (2Sa 15:3) 
Deride   (1) to mock in ridicule, scorn, or contempt (Hab 1:10) 
Describe   (3) divide, mark out (Jos 18:4, Jos 18:6) 
Descry   (1) spy out, describe, or discover (Jdg 1:23) 
Despite   (9) contempt, scorn, or spite (Eze 25:6; Rom 1:30; Mat 5:44) 
Devotions   (1) adoration, acts of worship, or praise (Act 17:23) 
Diadem   (4) royal head-dress (Job 29:14; Isa. 28:5; Eze 21:26) 
Diet   (2) daily allowance (Jer 52:34) 
Disannul   (5) to cancel, abolish, or nullify (Isa 14:27; Job 40:8; Gal 3:17) 
Discomfited   (9) to be defeated, overthrown, or frustrated (Exo 17:13; 1Sa 31:8) 
Dispensation   (4) dealing out; distribution (1Co 9:17; Eph 1:10; Col 1:25) 
Disputation   (2) an argument, debate, discussion, or controversy (Act 15:2; Rom 14:1) 
Disquiet   (8) disturb, trouble, and make restless (Jer 50:34; 1Sa 28:15; Pro 30:21) 
Dissembled   (3) to disguise, pretend, or act hypocritically (Gal 2:13; Psa 26:4; Pro 26:24) 
Dissimulation   (2) to pretend, hypocrisy or deception (Rom 12:9; Gal 2:13) 
Distil   (2) to drip or trickle down (Deu 32:2; Job 36:28) 
Divers   (37) different, diverse, varied (Deu 22:9; Jam 1:2) 
Divination   (12) foretelling future events; discovering things secret (Num 22:7; Deu 18:10) 
Doctor   (3) teacher, instructor (Luk 2:46, Luk 5:17; Act 5:34) 
Doleful   (2) sorrowful, mournful, or grieved (Isa 13:21; Mic 2:4) 
Dote   (7) to say or think foolishly (Jer 50:36; Eze 23:5; 1Ti 6:4) 
Doth   (207) do (Gen 3:5; Rev 19:11) 
Doting   (1) excessive fondness (1Ti 6:4) 
Downsitting   (1) sitting down (Psa 139:2) 
Drams   (6) a weight of measure (1Ch 29:7; Ezr 2:69; Neh 7:70) 
Draught   (5) to something derived or extracted (Luk 5:4, Luk 5:9), (3) a privy, bathroom, or sewer (2Ki 10:27; Mat 15:17) 
Dromedary   (4) a one hump camel (Jer 2:23; 1Ki 4:28; Est 8:10) 
Duke   (43) a chief, commander, leader (Gen 36:15; 1Ch 1:54) 
Dulcimer   (3) a stringed instrument (Dan 3:5, Dan 3:10, Dan 3:15) 
Dung   (28) manure, excrement, or anything morally filthy (Exo 29:14; Phi 3:8) 
Dureth   (1) endures, goes on (Mat 13:21) 
Dureth   (1) to last, persist, endure, or continue in existence or state (Mat 13:21) 
Durst   (9) dare (Mar 12:34) 
Ear(ing)   (3) plough the ground, (Gen 45:6, Exo 34:21; Deu 21:4) 
Earnest   (5) serious, important, or zealous (Rom 8:19); (3) a pledge or deposit securing a contract (2Co 1:22, 2Co 5:5; Eph 1:14) 
Effeminate   (1) unmanly or unnaturally delicate, soft, or weak (1Co 6:9) 
Emboldened   (1) to make bold (1Co 8:10) 
Emerods   (8) hemorrhoids, swelling (Deu 28:27; 1Sa 5:6) 
Eminent   (4) prominent, outstanding, or distinguished (Eze 16:24, Eze 16:31, Eze 16:39, Eze 17:22) 
Emulation   (2) a jealous rivalry (Rom 11:14, Gal 5:20) 
Endamage   (1) to inflict damage upon, injure, or discredit (Ezr 4:13) 
Endued   (5) to introduce, to bring to a certain condition (Gen 30:20; 2Ch 2:12; Luk 24:49) 
Engines   (2) a mechanical device or machine; weapons of warfare (2Ch 26:15; Eze 26:9) 
Engrafted   (1) to be grafted in, inserted, implanted, or introduced (Jam 1:21) 
Enjoin   (4) to direct, command, or impose (Phm 1:8) 
Enlargement   (1) freedom, relief (Est 4:14) 
Ensample   (6) an example, pattern, model, or sample (Phi 3:17; 2Th 3:9; 2Pe 2:6) 
Ensign   (9) a signal, sign, token, emblem (Num 2:2; Isa 5:26; Zec 9:16) 
Ensue   (1) follow after (1Pe 3:11) 
Environ   (1) to surround, or to envelop (Jos 7:9) 
Ephah   (37) about 8 gallons (Exo 16:36; Eze 45:11) 
Ephod   (52) cape worn by priests (Exo 39:2.5) 
Epistle   (14) A sent letter (Act 15:30) 
Ere   (10) before or until (Exo 1:19; Joh 4:49) 
Eschew   (4) to shun, avoid, abstain from (1Pe 3:11) 
Espoused   (7) promised in marriage; betrothed; engaged (2Sa 3:14; Mat 1:18; Luk 1:27) 
Espy  (2) see, perceive (Jos 14:7; Jer 48:19) 
Estate   (17) condition, position, or status (1Ch 17:17; Jude 6; Eze 36:11; Mar 6:21) 
Euroclydon   (1) a tempestuous north-easterly wind (Act 27:14) 
Evilfavouredness   (1) ugliness, deformity (Deu 17:1) 
Exchanger   (1) money-changer; banker (Mat 25:27) 
Execration   (2) a curse, detestation; abhorrence (Jer 42:18, Jer 44:12) 
Fain   (2) gladly, willingly, or be content to (Job 27:22; Luk 15:16) 
Fairs   (6) anything gotten at a sale (Eze 27:12) 
Familiar   (19) intimate, well acquainted, or in close association (Lev 19:31; Isa 29:4) 
Farthing   (4) a fourth part of a penny (Mat 5:26, Mat 10:29; Mar 12:42) 
Fat   (3) good, rich, full, prosperous (Neh 8:10; Pro 11:25; Isa 28:1) 
Fats   (2) a vat or vessel (Joe 2:24, Joe 3:13) 
Feebleminded   (1) to be weak, infirm, frail, or faint (1Th 5:14) 
Feign   (13) to invent, pretend (2Sa 14:2; 1Ki 14:5; Luk 20:20) 
Felloes   (1) part of a wheel rim (1Ki 7:33) 
Fens   (1) a marsh or a bog (Job 40:21) 
Fetters   (11) shackles, metal bands (Psa 105:18) 
Fillet   (9) an ornamental narrow band that goes around something (Jer 52:21) 
Firkins   (1) a small wooden vessel or cask equal to one-fourth barrel (Joh 2:6) 
Firmament   (17) the region of the air; the sky or heavens; or the sphere of the stars (Gen 1:6; Dan 12:3) 
Firstling   (10) the first offspring of an animal (Exo 13:12; Deu 33:17) 
Fitches   (3) an herb seed used as a spice or seasoning (Isa 28:25, Eze 4:9) 
Flag   (4) an aquatic plant like a reed or rush (Job 8:11) 
Flagon   (5) a container for holding liquids (2Sa 6:19; 1Ch 16:3) 
Flanks   (6) the fleshy part of an animal between the ribs and the hip (Lev 3:4; Job 15:27) 
Flay   (4) to skin or strip off the skin (Lev 1:6; 2Ch 29:34; Mic 3:3) 
Fleshhook   (7) a hook for fish (1Sa 2:13, 1Sa 2:14) 
Flowers   (2) the menstrual discharge (Lev 15:24, Lev 15:33) 
Flux   (1) the flow of blood or any liquid discharge from the bowels (Act 28:8) 
Forbear   (22) to bear, endure, submit to, have patience with, tolerate(Exo 23:5; 1Th 3:5) 
Foreship   (1) the bow of a ship (Act 27:30) 
Forswear   (1) renounce earnestly, deny, or repudiate under an oath (Mat 5:33) 
Forthwith   (10) immediately, at once, without delay (Ezr 6:8; Act 21:30) 
Forum   (1) market place (Act 28:15) 
Forward   (3) eager, zealous, ready, or inclined to do something (2Co 8:10, 2Co 8:17; Gal 2:10) 
Foursquare   (10) square (Exo 27:1; Rev 21:16) 
Frankly   (1) openly, freely (Luk 7:42) 
Fray   (3) frighten, scare, terrify, or horrify (Deu 28:26; Jer 7:32; Zec 1:21) 
Fret   (7) grieve, be angry (Psa 37:1) 
Frontlets   (3) something worn on the forehead (Exo 13:16; Deu 6:8, Deu 11:18) 
Froward   (25) stubborn, perverse, difficult, evil-disposed (Deu 32:20; 1Pe 2:18) 
Furbish   (6) polish, sharpen (Jer 46:4) 
Furlong   (5) 220 yards (Luk 24:13; Joh 6:19; Rev 14:20) 
Furniture   (7) equipment, harness (Gen 31:34) 
Gaddest   (1) to move about restlessly or roam idly (Jer 2:36) 
Gainsay   (3) to speak against, contradict, oppose, or hinder (Luk 21:15) 
Gallant   (1) to be admirable, noble, finely dressed, or beautiful in appearance (Isa 33:21) 
Garner   (4) a storehouse for grain, barn (Mat 3:12; Luk 3:17) 
Gat   (20) got (Psa 116:3) 
Gay   (1) happy, joyful, cheerful, or fine (Jam 2:3) 
Gazingstock   (2) the object of someone&#8217;s gaze or stare (Nah 3:6; Heb 10:33) 
Gender   (4) to produce, breed, generate, or give rise to (Lev 19:19; 2Ti 2:23) 
Gerah   (1) one twentieth of a shekel (Exo 30:13) 
Gin   (3) a trap or snare (Job 18:9; Isa 8:14; Amo 3:5) 
Girdle   (38) belt (Exo 28:4; Rev 1:13) 
Glass   (4) a mirror (Job 37:18; 1Co 13:12; 2Co 3:18; Jam 1:23) 
Glede   (1) a bird (Deu 14:13) 
Glistering   (2) shining, sparkling, or glittering (1Ch 29:2; Luk 9:29) 
Godhead   (3) the trinity (Act 17:29; Rom 1:20; Col 2:9) 
Goodman   (6) the male head of the household (Pro 7:19; Mat 20:11; Mar 14:14) 
Greaves   (1) armor for the lower leg (1Sa 17:6) 
Grisled   (4) an animal that gray colored, either whole or spotted (Gen 31:10; Zec 6:3, Zec 6:6) 
Gross   (4) thick, powerful, or big (Isa 60:2; Jer 13:16; Mat 13:15) 
Guile   (11) to deceive or trick (Exo 21:14; Rev 14:5) 
Habergeon   (5) a sleeveless coat or jacket of armor (Exo 28:32; Job 41:26) 
Haft   (1) a handle (Jdg 3:22) 
Hale   (1) to draw, fetch, haul, or pull (Luk 12:58) 
Hallow   (36) to make holy, consecrated, or set apart (Exo 28:38; Eze 44:24) 
Halt   (9) lame or crippled (1Ki 18:21; Psa 38:17) 
Handmaid   (45) a female personal attendant, slave or servant (Gen 16:1; Luk 1:38) 
Hap   (7) to happen by chance, or accident (Rth 2:3, 1Sa 14:30; Mar 11:13) 
Hard   (6) close, near, or in close proximity (Lev 3:9; Jdg 9:52; 1Ki 21:1) 
Hardly   (8) with difficulty (Mat 19:23; Mar 10:23) 
Hart   (11) a male deer (Deu 12:15; Isa 35:6) 
Haunt   (3) a habit, custom, habitation, or place of frequent abode (1Sa 23:22; Eze 26:17) 
Heady   (1) to be headstrong, domineering, overbearing (2Ti 3:4) 
Heath   (2) open uncultivated land (Jer 17:6, Jer 48:6) 
(1) a handle (Deu 19:5) 
Hence   (30) from this time forward, from this place forward (Gen 37:17) 
Highminded   (3) haughty, arrogant, or proud spirit (Rom 11:20; 1Ti 6:17; 2Ti 3:4) 
Hin   (22) about 1.5 gallons (Exo 30:24) 
Hind   (10) a female deer (Gen 49:21; Pro 5:19; Jer 14:5) 
Hither   (67) to or towards, up to this point (Gen 15:16; Rev 21:9) 
Hitherto   (18) until now, before (Joh 5:17; 1Co 3:2) 
Hoar   (4) old, aged, or white with age (Exo 16:14; 1Ki 2:6; Isa 46:4) 
Holden   (12) held (Psa 18:35; Luk 24:16) 
Holpen   (5) helped (Psa 86:17; Luk 1:54) 
Homer   (11) 10 ephahs or baths, about 80 gallons (Lev 27:16; Isa 5:10; Eze 45:11) 
Hosanna   (6) "save, we pray," a shout of praise (Mat 21:9; Mar 11:10; Joh 12:13) 
Hosen   (1) articles of clothing to cover the legs (Dan 3:21) 
Hough   (1) to disable by cutting the tendons in the hind leg (Jos 11:6) 
Howbeit   (164) as it may, or nevertheless (Jdg 4:17; Heb 3:16) 
Husbandry   (2) the management of a household (2Ch 26:10; 1Co 3:9) 
Ignominy   (1) dishonor, disgrace, or shame (Pro 18:3) 
Immutable   (1) unchangeable, not liable to change, or variation (Heb 6:18) 
Impenitent  (1) not repenting of sin; not contrite (Rom 2:5)

